Transaction ID,Date,Product Name,Variety Name,Container Size,Units Sold,Unit Price,Territory,Season,Customer Type,Sales Amount
PVP-2024-001,2024-03-15,Aurora Flame Maple,Aurora Flame™ Maple,1-gallon containers,6500,12.50,Oregon,Spring,Retail Nursery,81250
PVP-2024-002,2024-03-20,Aurora Flame Maple,Aurora Flame™ Maple,3-gallon containers,2500,35.00,Washington,Spring,Landscape Contractor,87500
PVP-2024-003,2024-03-28,Pacific Sunset Rose,Pacific Sunset® Rose,4-inch pots,8000,8.50,Oregon,Spring,Retail Nursery,68000
PVP-2024-004,2024-04-05,Pacific Sunset Rose,Pacific Sunset® Rose,6-inch pots,4500,14.00,Northern California,Spring,Retail Nursery,63000
PVP-2024-005,2024-04-12,Emerald Crown Hosta,Emerald Crown™ Hosta,1-gallon containers,5500,16.50,Washington,Spring,Wholesale Distribution,90750
PVP-2024-006,2024-04-22,Cascade Blue Hydrangea,Cascade Blue® Hydrangea,1-gallon containers,3000,28.00,Oregon,Spring,Landscape Contractor,84000
PVP-2024-007,2024-05-01,Golden Spire Juniper,Golden Spire™ Juniper,5-gallon containers,1200,55.00,Idaho,Spring,Landscape Contractor,66000
PVP-2024-008,2024-05-15,Aurora Flame Maple,Aurora Flame™ Maple,5-gallon containers,1100,65.00,Montana,Spring,Retail Nursery,71500
PVP-2024-009,2024-05-28,Pacific Sunset Rose,Pacific Sunset® Rose,1-gallon containers,3200,18.50,Oregon,Spring,Retail Nursery,59200
PVP-2024-010,2024-06-10,Emerald Crown Hosta,Emerald Crown™ Hosta,4-inch pots,12000,7.50,Washington,Summer,Retail Nursery,90000
PVP-2024-011,2024-06-22,Cascade Blue Hydrangea,Cascade Blue® Hydrangea,2-gallon containers,1800,45.00,Northern California,Summer,Landscape Contractor,81000
PVP-2024-012,2024-07-05,Golden Spire Juniper,Golden Spire™ Juniper,1-gallon containers,4200,18.00,Oregon,Summer,Retail Nursery,75600
PVP-2024-013,2024-07-18,Aurora Flame Maple,Aurora Flame™ Maple,15-gallon specimens,250,185.00,Washington,Summer,Landscape Contractor,46250
PVP-2024-014,2024-08-01,Pacific Sunset Rose,Pacific Sunset® Rose,6-inch pots,3800,13.50,Oregon,Summer,Retail Nursery,51300
PVP-2024-015,2024-08-15,Emerald Crown Hosta,Emerald Crown™ Hosta,2-gallon containers,2400,28.00,Idaho,Summer,Wholesale Distribution,67200
PVP-2024-016,2024-09-05,Cascade Blue Hydrangea,Cascade Blue® Hydrangea,1-gallon containers,4500,26.50,Oregon,Fall,Retail Nursery,119250
PVP-2024-017,2024-09-18,Golden Spire Juniper,Golden Spire™ Juniper,3-gallon containers,1500,38.00,Washington,Fall,Landscape Contractor,57000
PVP-2024-018,2024-09-28,Aurora Flame Maple,Aurora Flame™ Maple,3-gallon containers,1800,33.00,Nevada,Fall,Retail Nursery,59400
PVP-2024-019,2024-10-10,Pacific Sunset Rose,Pacific Sunset® Rose,1-gallon containers,2800,17.50,Utah,Fall,Wholesale Distribution,49000
PVP-2024-020,2024-10-22,Emerald Crown Hosta,Emerald Crown™ Hosta,1-gallon containers,3500,15.50,Oregon,Fall,Retail Nursery,54250
PVP-2024-021,2024-11-05,Cascade Blue Hydrangea,Cascade Blue® Hydrangea,3-gallon containers,900,48.00,Washington,Fall,Landscape Contractor,43200
PVP-2024-022,2024-11-20,Golden Spire Juniper,Golden Spire™ Juniper,5-gallon containers,600,52.00,Northern California,Fall,Landscape Contractor,31200
PVP-2024-023,2024-12-01,Pacific Sunset Rose,Pacific Sunset® Rose,6-inch pots,2500,16.50,Oregon,Holiday,Retail Nursery,41250
PVP-2024-024,2024-12-15,Cascade Blue Hydrangea,Cascade Blue® Hydrangea,1-gallon containers,3200,32.00,Washington,Holiday,Retail Nursery,102400
